dataset,N,J,lmbda,Objective,fairness error,balance,cluster_option,time,seed,lmbda_tune,K,L
Synthetic,400,2,10,288.14,0.123,0.48,kmedian,4.8,1,False,2,2.0
Synthetic,400,2,10,288.14,0.123,0.48,kmedian,8.1,2,False,2,2.0
Synthetic,400,2,10,288.14,0.123,0.48,kmedian,5.6,3,False,2,2.0
Synthetic,400,2,10,293.15,2.328,0.03,kmedian,2.9,4,False,2,2.0
Synthetic,400,2,10,288.14,0.123,0.48,kmedian,5.6,5,False,2,2.0
Synthetic,400,2,10,288.14,0.123,0.48,kmedian,5.6,6,False,2,2.0
Synthetic,400,2,10,287.63,0.123,0.49,kmedian,6.8,7,False,2,2.0
Synthetic,400,2,10,288.14,0.123,0.48,kmedian,6.9,8,False,2,2.0
Synthetic,400,2,10,288.14,0.123,0.48,kmedian,5.6,9,False,2,2.0
Synthetic,400,2,10,287.33,0.152,0.45,kmedian,5.6,10,False,2,2.0
Synthetic,400,2,10,287.33,0.152,0.45,kmedian,4.3,11,False,2,2.0
Synthetic,400,2,10,288.14,0.123,0.48,kmedian,5.5,12,False,2,2.0
Synthetic,400,2,10,293.15,2.328,0.03,kmedian,2.9,13,False,2,2.0
Synthetic,400,2,10,293.15,2.328,0.03,kmedian,2.8,14,False,2,2.0
Synthetic,400,2,10,290.4,2.546,0.02,kmedian,2.9,15,False,2,2.0
Synthetic,400,2,10,287.33,0.152,0.45,kmedian,5.6,16,False,2,2.0
Synthetic,400,2,10,288.14,0.123,0.48,kmedian,6.8,17,False,2,2.0
Synthetic,400,2,10,287.33,0.152,0.45,kmedian,3.0,18,False,2,2.0
Synthetic,400,2,10,290.4,2.546,0.02,kmedian,2.9,19,False,2,2.0
Synthetic,400,2,10,288.14,0.123,0.48,kmedian,6.9,20,False,2,2.0
Synthetic,400,2,10,287.63,0.123,0.49,kmedian,5.6,21,False,2,2.0
Synthetic,400,2,10,293.15,2.328,0.03,kmedian,2.9,22,False,2,2.0
Synthetic,400,2,10,288.14,0.123,0.48,kmedian,6.9,23,False,2,2.0
Synthetic,400,2,10,293.15,2.328,0.03,kmedian,2.8,24,False,2,2.0
Synthetic,400,2,10,287.33,0.152,0.45,kmedian,3.0,25,False,2,2.0
Synthetic,400,2,10,288.14,0.123,0.48,kmedian,4.2,26,False,2,2.0
Synthetic,400,2,10,290.4,2.546,0.02,kmedian,2.9,27,False,2,2.0
Synthetic,400,2,10,287.28,0.156,0.45,kmedian,4.3,28,False,2,2.0
Synthetic,400,2,10,288.14,0.123,0.48,kmedian,6.9,29,False,2,2.0
Synthetic,400,2,10,290.4,2.546,0.02,kmedian,2.9,30,False,2,2.0

Synthetic,400,2,10,207.8,0.0,1.0,kmeans,4.6,1,False,2,2.0
Synthetic,400,2,10,201.86,3.373,0.01,kmeans,4.7,2,False,2,2.0
Synthetic,400,2,10,201.86,3.373,0.01,kmeans,5.8,3,False,2,2.0
Synthetic,400,2,10,203.5,3.029,0.01,kmeans,2.5,4,False,2,2.0
Synthetic,400,2,10,201.86,3.373,0.01,kmeans,5.8,5,False,2,2.0
Synthetic,400,2,10,201.86,3.373,0.01,kmeans,5.7,6,False,2,2.0
Synthetic,400,2,10,207.8,0.0,1.0,kmeans,3.6,7,False,2,2.0
Synthetic,400,2,10,207.8,0.0,1.0,kmeans,2.5,8,False,2,2.0
Synthetic,400,2,10,207.8,0.0,1.0,kmeans,3.6,9,False,2,2.0
Synthetic,400,2,10,201.86,3.373,0.01,kmeans,8.0,10,False,2,2.0
Synthetic,400,2,10,201.86,3.373,0.01,kmeans,6.8,11,False,2,2.0
Synthetic,400,2,10,201.86,3.373,0.01,kmeans,5.7,12,False,2,2.0
Synthetic,400,2,10,201.86,3.373,0.01,kmeans,2.4,13,False,2,2.0
Synthetic,400,2,10,201.87,3.373,0.01,kmeans,2.5,14,False,2,2.0
Synthetic,400,2,10,201.86,3.373,0.01,kmeans,2.4,15,False,2,2.0
Synthetic,400,2,10,203.5,3.029,0.01,kmeans,4.7,16,False,2,2.0
Synthetic,400,2,10,207.8,0.0,1.0,kmeans,2.4,17,False,2,2.0
Synthetic,400,2,10,201.86,3.373,0.01,kmeans,10.2,18,False,2,2.0
Synthetic,400,2,10,203.5,3.029,0.01,kmeans,2.5,19,False,2,2.0
Synthetic,400,2,10,207.8,0.0,1.0,kmeans,2.5,20,False,2,2.0
Synthetic,400,2,10,207.8,0.0,1.0,kmeans,3.6,21,False,2,2.0
Synthetic,400,2,10,201.86,3.373,0.01,kmeans,2.5,22,False,2,2.0
Synthetic,400,2,10,201.86,3.373,0.01,kmeans,5.6,23,False,2,2.0
Synthetic,400,2,10,203.5,3.029,0.01,kmeans,2.5,24,False,2,2.0
Synthetic,400,2,10,201.86,3.373,0.01,kmeans,10.2,25,False,2,2.0
Synthetic,400,2,10,207.8,0.0,1.0,kmeans,5.7,26,False,2,2.0
Synthetic,400,2,10,201.87,3.373,0.01,kmeans,2.5,27,False,2,2.0
Synthetic,400,2,10,201.86,3.373,0.01,kmeans,8.0,28,False,2,2.0
Synthetic,400,2,10,201.86,3.373,0.01,kmeans,5.7,29,False,2,2.0
Synthetic,400,2,10,201.86,3.373,0.01,kmeans,2.5,30,False,2,2.0

Synthetic,400,2,10,0.19,0.0,0.96,ncut,7.2,1,False,2,2.0
Synthetic,400,2,10,0.29,0.0,1.0,ncut,10.8,2,False,2,2.0
Synthetic,400,2,10,0.18,0.0,0.98,ncut,9.0,3,False,2,2.0
Synthetic,400,2,10,0.29,0.0,1.0,ncut,10.8,4,False,2,2.0
Synthetic,400,2,10,0.2,0.0,0.99,ncut,6.3,5,False,2,2.0
Synthetic,400,2,10,0.18,0.0,0.98,ncut,8.8,6,False,2,2.0
Synthetic,400,2,10,0.0,0.0,1.0,ncut,6.0,7,False,2,2.0
Synthetic,400,2,10,0.0,0.0,1.0,ncut,2.1,8,False,2,2.0
